drug_id,drug,Ring size,y
56463074,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,18,9.66869999999999
24805781,Nc1cc2c(cc1[N+](=O)[O-])OCCOCCOCCO2,12,8.22949999999999
14728877,C[C@@H](O)[C@@H]1NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCC[C@@H](C(N)=O)NC(=O)CNC1=O,14,2.3845
22412741,N#Cc1ncc(-c2ccc3c(c2)OCCOCCOCCOCCO3)nc1C#N,15,-63.5749
22405875,COC(=O)c1ccccc1C(=O)N1CCOCCOCCOCC1,12,12.5095
14724406,O=C(CN1CCOCCOCCOCCOCC1)Nc1ccccc1,15,8.32869999999999
14724037,CCOC(=O)C(C)CC(C)C(=O)N1CCOCCN(C(=O)C(C)CC(C)C(=O)OCC)CCOCC1,12,-6.3368
26664367,C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23,12,5.4519
14728776,NC(=O)[C@@H]1CCOc2c(F)cc([N+](=O)[O-])cc2C(=O)N[C@@H](CO)C(=O)NCC(=O)N1,14,11.687
47201750,O=C(N1CCOCCOc2ccccc2OCCOCC1)C(F)(F)F,15,12.5917
26667913,O=C(CN1CCOCCOCCN(CC(=O)Nc2ccccc2)CCOCC1)Nc1ccccc1,15,-5.33930000000001
14728651,NCCCC[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCC[C@@H](C(N)=O)NC1=O,14,21.17448
14728837,NCCCC[C@@H]1NC(=O)c2cc([N+](=O)[O-])cc(I)c2SC[C@@H](C(=O)NCC(N)=O)NC(=O)CNC1=O,13,13.4283
49648513,COc1cc(O)cc2c1C(=O)O[C@@H](C)CCCC(=O)CCCCC2,14,-3.13510000000001
14728961,NC(=O)[C@@H]1CCCNc2c(I)cc([N+](=O)[O-])cc2C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1,15,11.8308
26659416,O=C(c1cccc([N+](=O)[O-])c1)c1ccc2c(c1)OCCOCCOCCOCCO2,15,-32.6324
14739284,O=C(NC(=S)NC1CCCCCCCCCCC1)c1cccnc1,12,5.0319
14728938,NC(=O)[C@@H]1CCNc2c(I)cc([N+](=O)[O-])cc2C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N1,14,12.9038
49672543,C=Cc1ccc2c(c1)OCCOCCOCCOCCOCCO2,18,-70.2432
57260090,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,16,5.9653
26732585,COC(=O)C1C(O)C(C)C(O)C(C)(O)/C=C\C=C(/C)C(=O)Nc2c(C)c(OC(C)=O)c3c(c2O)C(=O)C(C)=C2OCOC(=C23)/C(C)=C/C(C)(O)C(O)C(C)C1O,23,7.92929999999999
14728921,CC(C)[C@@H]1NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCCC[C@@H](C(N)=O)NC(=O)[C@H](CO)NC1=O,15,8.46439999999999
14728969,C[C@@H]1NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCC[C@@H](C(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,14,5.9603
22413700,c1ccc2c(c1)OCCOCCOCCOCCOCCOc1ccccc1OCCOCCOCCO2,30,-8.97790000000001
14728868,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCC[C@@H](C(N)=O)NC1=O,17,11.993
17508183,COC(=O)c1ccccc1C(=O)N1CCOCCN(C(=O)c2ccccc2C(=O)OC)CCOCC1,12,10.3185
49731646,CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCOCCOCCOCC1,12,13.3269
49715885,Cc1ccc(S(=O)(=O)NC(C(=O)N2CCOCCOCCOCCOCC2)C(C)C)cc1,15,15.0416
14728634,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCCC[C@@H](C(N)=O)NC1=O,15,-11.3104
24811382,CC(C)C(C(=O)Nc1ccc2c(c1)OCCOCCOCCOCCO2)N1C(=O)c2ccccc2C1=O,15,-13.18
49725624,Cc1ccc(S(=O)(=O)NCC(=O)N2CCOCCOCCOCCOCC2)cc1,15,21.5556
14728829,NCCCC[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)c2cc([N+](=O)[O-])cc(I)c2SC[C@@H](C(=O)NCC(N)=O)NC1=O,13,16.5594
56463702,CCC1OC(=O)C(C)C(OC2C[C@@](C)(OC)C(O)C(C)O2)C(C)C(O[C@@H]2OC(C)CC(N(C)C)C2O)[C@](C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)[C@]1(C)O,14,16.4538
85147138,CC(=O)C[C@H](O)CC(=O)[C@H]1OC(=O)CCCCCCCc2ccccc21,12,9.3337
14736914,CC1CCC/C=C/C2CC(O)CC2C(O)/C=C/C(=O)O1,13,6.32959999999999
14727374,S=C1NCCOCCOCCOCCOCCNC(=S)NCCOCCOCCOCCOCCN1,34,-5.30820000000001
14728906,NC(=O)C(CC(=O)O)NC(=O)[C@@H]1CCOc2c(I)cc([N+](=O)[O-])cc2C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1,14,-1.4146
17401449,CC(NC(=O)C(=O)NN=C1CCCCCCCCCCC1)c1ccccc1,12,12.6985
849412,CC(O)c1ccc2c(c1)OCCOCCN(C)CCOCCO2,15,7.18459999999999
14728903,C[C@@H]1NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCC[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,14,11.2246
26657951,O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCNC(=O)CCC(=O)N(O)CCCCCN1,32,9.21599999999999
